compression,compressionBzip2,compressionGzip,compressionLrzip,compressionLzo,compressionZpaq,disableCompressibilityTesting,encryption,level,level1,level2,level3,level4,level5,level6,level7,level8,level9,unlimitedWindowSize,Performance
1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,208900
1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,210450
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,283750
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,339780
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,340590
1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,384660
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1062250
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1179830
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,827290
1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,208350
1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,213220
1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,223040
1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,234870
1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,236720
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,248940
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,257480
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,263430
1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,265980
1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,76470
1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,80360
1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,87690
1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,93090
1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,106090
1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,128450
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,146410
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,187970
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,198360
1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,50520
1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,50610
1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,45490
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,48050
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,49850
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,50420
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,53060
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,53480
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,51500
1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,673290
1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,679680
1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,674140
1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2267650
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2265330
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2265250
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2275110
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,5765920
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5759100
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,41150
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,41790
