metric,coverage_t,sample_size_source_t,kw_statistic,kw_pvalue,kw_significant,epsilon_squared,effect_strength,median_weak,median_moderate,median_strong,median_verystrong,best_group_by_median,worst_group_by_median,weak_minus_verystrong,trend_direction,dunn_weak_moderate,dunn_weak_strong,dunn_weak_verystrong,dunn_moderate_strong,dunn_moderate_verystrong,dunn_strong_verystrong,pairwise_summary
ALS,1,1,19.58192882297773,0.0002072008156526508,True,0.13591744936866992,EffectStrength.MEDIUM,0.9523809523809524,0.8389694041867954,0.8,0.7264033264033263,Weak,Very Strong,0.22597762597762616,decreasing_with_constraint,0.3895174945413705,0.3895174945413705,0.009019482782785734,0.8507790762632701,0.009019482782785734,0.06476867095255275,Weak ~ Moderate; Weak ~ Strong; Weak > Very Strong; Moderate ~ Strong; Moderate > Very Strong; Strong ~ Very Strong
ALS,1,2,21.460301944172915,8.446836856009641e-05,True,0.15131395036207307,EffectStrength.LARGER,0.9523809523809524,0.8389694041867954,0.8,0.7264033264033263,Weak,Very Strong,0.22597762597762616,decreasing_with_constraint,0.37968937015693627,0.37968937015693627,0.005834077269143271,0.9145482726727175,0.005834077269143271,0.03744875650483301,Weak ~ Moderate; Weak ~ Strong; Weak > Very Strong; Moderate ~ Strong; Moderate > Very Strong; Strong > Very Strong
ALS,2,1,16.055717717519553,0.0011045435956557657,True,0.10701407965179961,EffectStrength.MEDIUM,0.7249999999999999,0.6155694299163179,0.5572916666666666,0.4896337790205364,Weak,Very Strong,0.23536622097946347,decreasing_with_constraint,0.5604823338602188,0.5604823338602188,0.023903418492912356,0.845443260543,0.02093849389529326,0.11464176239675118,Weak ~ Moderate; Weak ~ Strong; Weak > Very Strong; Moderate ~ Strong; Moderate > Very Strong; Strong ~ Very Strong
ALS,2,2,16.4179092972971,0.0009308285094499739,True,0.10998286309259918,EffectStrength.MEDIUM,0.7249999999999999,0.6155694299163179,0.5572916666666666,0.4896337790205364,Weak,Very Strong,0.23536622097946347,decreasing_with_constraint,0.6564796680406059,0.6564796680406059,0.02619877110722009,0.9025246565071762,0.018470382352102115,0.08530667384609047,Weak ~ Moderate; Weak ~ Strong; Weak > Very Strong; Moderate ~ Strong; Moderate > Very Strong; Strong ~ Very Strong
ALS,3,1,9.695239914216602,0.021342527133451483,True,0.054879015690300015,EffectStrength.SMALL,0.47412280701754383,0.38727338927049815,0.3523391812865496,0.3191998527336319,Weak,Very Strong,0.15492295428391195,decreasing_with_constraint,0.6302913486767128,0.6302913486767128,0.12141106649233577,0.8049194279930035,0.24936303781971011,0.24936303781971011,Weak ~ Moderate; Weak ~ Strong; Weak ~ Very Strong; Moderate ~ Strong; Moderate ~ Very Strong; Strong ~ Very Strong
ALS,3,2,9.662084924106233,0.021668120607422247,True,0.0546072534762806,EffectStrength.SMALL,0.47412280701754383,0.38727338927049815,0.3523391812865496,0.3191998527336319,Weak,Very Strong,0.15492295428391195,decreasing_with_constraint,0.6830467994377984,0.7119690801652976,0.14285504480385447,0.7262889729678247,0.23116276809944086,0.23116276809944086,Weak ~ Moderate; Weak ~ Strong; Weak ~ Very Strong; Moderate ~ Strong; Moderate ~ Very Strong; Strong ~ Very Strong
AP_ALS-PCI,1,1,19.58192882297773,0.0002072008156526508,True,0.13591744936866992,EffectStrength.MEDIUM,0.9523809523809524,0.8389694041867954,0.8,0.7264033264033263,Weak,Very Strong,0.22597762597762616,decreasing_with_constraint,0.3895174945413705,0.3895174945413705,0.009019482782785734,0.8507790762632701,0.009019482782785734,0.06476867095255275,Weak ~ Moderate; Weak ~ Strong; Weak > Very Strong; Moderate ~ Strong; Moderate > Very Strong; Strong ~ Very Strong
AP_ALS-PCI,1,2,21.460301944172915,8.446836856009641e-05,True,0.15131395036207307,EffectStrength.LARGER,0.9523809523809524,0.8389694041867954,0.8,0.7264033264033263,Weak,Very Strong,0.22597762597762616,decreasing_with_constraint,0.37968937015693627,0.37968937015693627,0.005834077269143271,0.9145482726727175,0.005834077269143271,0.03744875650483301,Weak ~ Moderate; Weak ~ Strong; Weak > Very Strong; Moderate ~ Strong; Moderate > Very Strong; Strong > Very Strong
AP_ALS-PCI,2,1,15.903996298729558,0.0011865508435179944,True,0.10577046146499637,EffectStrength.MEDIUM,0.7157894736842105,0.603699727691663,0.5449438202247191,0.48911601307189534,Weak,Very Strong,0.2266734606123152,decreasing_with_constraint,0.3686923560046374,0.3686923560046374,0.020176938056863023,0.714066823934031,0.020176938056863023,0.19592829061750902,Weak ~ Moderate; Weak ~ Strong; Weak > Very Strong; Moderate ~ Strong; Moderate > Very Strong; Strong ~ Very Strong
AP_ALS-PCI,2,2,16.511485971405097,0.0008905451629548621,True,0.1107498850115172,EffectStrength.MEDIUM,0.7157894736842105,0.603699727691663,0.5449438202247191,0.48911601307189534,Weak,Very Strong,0.2266734606123152,decreasing_with_constraint,0.4078168200328788,0.4078168200328788,0.01904372567398265,0.7664679544871499,0.01904372567398265,0.14647471670891715,Weak ~ Moderate; Weak ~ Strong; Weak > Very Strong; Moderate ~ Strong; Moderate > Very Strong; Strong ~ Very Strong
AP_ALS-PCI,3,1,10.92531817124284,0.012136639421568689,True,0.06496162435444951,EffectStrength.MEDIUM,0.4761194029850746,0.38086570620015436,0.3308823529411764,0.3178301741408537,Weak,Very Strong,0.15828922884422092,decreasing_with_constraint,0.4339723546212602,0.4339723546212602,0.050444804030605625,0.8799370648029332,0.15636175423447746,0.4339723546212602,Weak ~ Moderate; Weak ~ Strong; Weak ~ Very Strong; Moderate ~ Strong; Moderate ~ Very Strong; Strong ~ Very Strong
